for test (after destroying the db) -  put this data in the db : 



'1','Internal Medicine','طب الباطنة'
'2','Endocrinology','باطنة غدد صماء وسكر'
'3','Cardiology','القلب والاوعية الدموية'
'4','Gastroenterology','باطنة جهاز هضمي ومناظير'
'5','Obstetrics and Gynecology','نساء وتوليد'
'6','Pediatrics','طب اطفال'
'7','(Ear, nose and throat (ENT','طب الانف والاذن والحنجرة'
'8','Ophthalmology','طب امراض العيون'
'9','Neurology','طب الاعصاب'
'10','nephrology','طب امراض الكلى'
'11','Oncology','طب الاورام'
'12','Urology','المسالك البولية'
'13','Dermatology','جلدية'
'14','Allergy and immunology','الحساسية والمناعة'
'15','Hematology','امراض الدم'
'16','General Practitioner','الطب العام'
'17','Emergency medicine','طب الطوارىء'
'18','Psychiatry','طب الامراض النفسية'
'19','Radiology','الاشعة'
'20','Dentistry','طب الاسنان'
'21','Anatomy','طب التشريح'
'22','Family medicine','طب الاسرة'
'23','Sports medicine','الطب الرياضي'
'24','Industrial medicine','طب الامراض المهنية'
'25','Preventative medicine','الطب الوقائى'
'26','Anesthesia','طب التخدير'
'27','Rheumatology','طب امراض الروماتيزم'
'28','Hepatology','طب امراض الكبد'
'29','Anesthesiology & Recovery','طب التخدير والانعاش'
'30','Forensic Medicine','الطب الشرعي'
'31','Tropical  Medicine','طب المناطق الحارة'
'32','Nuclear Medicine','الطب النووي'
'33','Speech-Language','التخاطب'
'34','Space  Medicine','طب الفضاء'
'35','veterinary science','طب بيطري'
'36','surgery','الجراحة'
'37','Pediatric surgery','جراحة الأطفال'
'38','plastic surgery','جراحة التجميل'
'39','Urology surgery','جراحة المسالك البولية'
'40','Neurosurgery','جراحة الاعصاب'
'41','Cardiac surgery','جراحة القلب'
'42','Vascular surgery','جراحة الاوعية الدموية'
'43','Orthopedics','جلراحة عظام'
'44','Ear, nose and throat (ENT) surgery','جراحة انف و أذن وحنجرة'
'45','Thoracic surgery','جراحة الصدر'
'46','brain surgery','جراحة المخ'
'47','anal surgery','جراحة الشرج'
'48','General Surgery','جراحة عامة'
'49','bloodless surgery','جراحة بدون نزيف'
'50','Reconstructive','جراحة بنائية'
'51','minor surgery','جراحة صغرى'
'52','major surgery','جراحة كبرى'

