for test (after destroying the db) -  put this data in the db : 


'1','1','wed','20:45','22:30','30:00','1'
'2','21','thu','22:00','23:00','100','0'
'3','1','fri','21:00','22:00','60','1'
'4','21','thu','22:00','21:00','90','0'
'5','11','wed','16:00','17:00','60','1'
'36','11','mon','22:00','23:00','30','1'
'37','21','sat','23:00','23:30','30','1'
'38','1','thu','22:00','23:40','40','1'
'39','21','thu','22:00','23:40','40','1'
'40','1','fri','22:00','23:00','30','0'
'41','21','mon','23:00','24:40','40','1'
'78','21','tue','22:00','22:30','30','1'
'79','21','tue','22:30','23:30','30','1'
'80','21','wed','19:30','20:30','30','1'
